antecedent_codes,antecedent_labels,consequent_codes,consequent_labels,support,confidence,lift
END003 | GEN003,END003: Diabetes mellitus with complication | GEN003: Chronic kidney disease,CIR008 | END010 | FAC025,CIR008: Hypertension with complications and secondary hypertension | END010: Disorders of lipid metabolism | FAC025: Other specified status,0.0504,0.6158,5.085
BLD003 | CIR008 | FAC025,BLD003: Aplastic anemia | CIR008: Hypertension with complications and secondary hypertension | FAC025: Other specified status,GEN003,GEN003: Chronic kidney disease,0.0519,0.8229,5.0439
CIR008 | CIR011 | FAC025,CIR008: Hypertension with complications and secondary hypertension | CIR011: Coronary atherosclerosis and other heart disease | FAC025: Other specified status,CIR019,CIR019: Heart failure,0.0718,0.7341,5.0254
CIR008 | CIR011 | FAC021,CIR008: Hypertension with complications and secondary hypertension | CIR011: Coronary atherosclerosis and other heart disease | FAC021: Personal/family history of disease,CIR019,CIR019: Heart failure,0.0529,0.7335,5.0214
CIR019 | FAC025,CIR019: Heart failure | FAC025: Other specified status,CIR008 | CIR011,CIR008: Hypertension with complications and secondary hypertension | CIR011: Coronary atherosclerosis and other heart disease,0.0718,0.5738,5.0057
CIR008 | CIR011,CIR008: Hypertension with complications and secondary hypertension | CIR011: Coronary atherosclerosis and other heart disease,CIR019 | FAC025,CIR019: Heart failure | FAC025: Other specified status,0.0718,0.6268,5.0057
CIR008 | CIR011,CIR008: Hypertension with complications and secondary hypertension | CIR011: Coronary atherosclerosis and other heart disease,CIR019,CIR019: Heart failure,0.0838,0.7307,5.0021
CIR019,CIR019: Heart failure,CIR008 | CIR011,CIR008: Hypertension with complications and secondary hypertension | CIR011: Coronary atherosclerosis and other heart disease,0.0838,0.5734,5.0021
CIR011 | GEN003,CIR011: Coronary atherosclerosis and other heart disease | GEN003: Chronic kidney disease,CIR008 | END010,CIR008: Hypertension with complications and secondary hypertension | END010: Disorders of lipid metabolism,0.0544,0.7126,4.9992
CIR008 | CIR011 | END010 | FAC025,CIR008: Hypertension with complications and secondary hypertension | CIR011: Coronary atherosclerosis and other heart disease | END010: Disorders of lipid metabolism | FAC025: Other specified status,CIR019,CIR019: Heart failure,0.0515,0.7299,4.997
